category_type,category,label,samples
generator,video_mps_multiple_bitrate_6bd51efe-8ff5-4719-a98f-f568dfe24acf,spoof,1
generator,video_mps_multiple_bitrate_6b015c15-5c47-432a-80fe-acb574c65728,spoof,1
generator,video_mps_multiple_bitrate_6af747a9-a7e5-4f0b-9423-54d5e93e1e7d,spoof,1
generator,video_mps_multiple_bitrate_6a801d2a-73f2-4892-beba-e1b0ef85c77d,spoof,1
generator,video_mps_multiple_bitrate_697707c7-cd38-4a0e-8ad9-f91341b883c9,spoof,1
generator,video_mps_multiple_bitrate_696ded2f-415b-474b-8aea-3ab875905d2b,spoof,1
generator,13cc4917-892a-576b-bd60-175b162f26d8,spoof,1
generator,video_mps_multiple_bitrate_52c9e52a-2131-4cd7-9cf5-bb679da72825,spoof,1
generator,video_mps_multiple_bitrate_528c45be-3c54-4856-9df7-d9e45f8bbd9a,spoof,1
generator,video_mps_multiple_bitrate_526719b3-9b01-466f-af27-21a9475b4ab8,spoof,1
generator,video_mps_multiple_bitrate_51598ef7-09da-4eda-aa31-7a5ce8a2cfc3,spoof,1
generator,video_mps_multiple_bitrate_412435a5-cfb5-480c-b0ec-3e50dfebef15,spoof,1
generator,video_mps_multiple_bitrate_40cd7fd5-b7b5-4a81-b12e-10589aaec935,spoof,1
generator,video_mps_multiple_bitrate_3f0d6e6d-2bac-4a4e-9d72-57604b82fd29,spoof,1
generator,video_mps_multiple_bitrate_3ef215c9-546c-4256-9601-645009cc012b,spoof,1
generator,video_mps_multiple_bitrate_3ec82e89-504c-4969-9b13-e23b9bcef5ae,spoof,1
generator,video_mps_multiple_bitrate_3e5eedf7-7583-44cc-a452-c081dc937c92,spoof,1
generator,video_mps_multiple_bitrate_3a0779ec-d728-45fc-9516-c510288dc8c0,spoof,1
generator,video_mps_multiple_bitrate_37ef87c8-2d2b-408d-8466-00a765dd17ae,spoof,1
generator,video_mps_multiple_bitrate_33f73141-2dbd-496e-8a84-874c71ae9861,spoof,1
generator,video_mps_multiple_bitrate_312d40e7-a3e5-4a06-9ad6-c8d28a927624,spoof,1
generator,video_mps_multiple_bitrate_3045deb7-39ea-4b18-80c1-265ebfbe0979,spoof,1
generator,video_mps_multiple_bitrate_2f49f0a9-0aa1-4f83-bcea-33a18cb7e57f,spoof,1
generator,video_mps_multiple_bitrate_2f272b79-e67a-40ee-9da8-2a3773e75550,spoof,1
generator,video_mps_multiple_bitrate_2e6891ff-9982-4366-8bab-cc165b65622f,spoof,1
generator,video_mps_multiple_bitrate_2e3baa4d-bbc0-4344-9213-2adc6f369730,spoof,1
generator,video_mps_multiple_bitrate_41fcaf48-6b4f-42d4-97c4-3c29e281f822,spoof,1
generator,video_mps_multiple_bitrate_427ed34b-682c-4cd1-84c1-75d40c116ec9,spoof,1
generator,video_mps_multiple_bitrate_44c0cc57-44da-4b78-87ac-91639fc767fe,spoof,1
generator,video_mps_multiple_bitrate_4a9021ec-3be4-4f2f-89b9-5a00f387b05e,spoof,1
generator,video_mps_multiple_bitrate_50750d4a-04e2-4667-8af6-3c2733f030a9,spoof,1
generator,video_mps_multiple_bitrate_4f9097f8-de09-4d61-bbd4-81d8014b3df7,spoof,1
generator,video_mps_multiple_bitrate_4df239f4-e413-4db1-a9bd-8e28bbe5ff5e,spoof,1
generator,video_mps_multiple_bitrate_4d5e80fc-779d-4095-9b89-8d52e7ffb464,spoof,1
generator,video_mps_multiple_bitrate_4c987620-f661-4f55-b420-2855217664f0,spoof,1
generator,video_mps_multiple_bitrate_4bc4e078-4f4e-4092-b999-e3bb598c4941,spoof,1
generator,video_mps_multiple_bitrate_49ca5eda-b685-437b-bded-1b6dc0c4fa61,spoof,1
generator,video_mps_multiple_bitrate_44fb8b35-1508-430e-ae35-0bf083ba883e,spoof,1
generator,video_mps_multiple_bitrate_499a2bdf-4007-48d9-8de9-9176989f7891,spoof,1
generator,video_mps_multiple_bitrate_49708849-3bdd-4840-a48b-d461c26466b5,spoof,1
generator,video_mps_multiple_bitrate_485ee614-d1cd-494a-850f-753b6c63b2ab,spoof,1
generator,video_mps_multiple_bitrate_47f56efc-6d86-499c-9796-5b7ccec64f66,spoof,1
generator,video_mps_multiple_bitrate_45553e2f-c8e5-4635-98e1-021789f3e916,spoof,1
generator,video_mps_multiple_bitrate_451310ff-1440-4591-ac23-c70a8e9d89a1,spoof,1
generator,video_mps_multiple_bitrate_685eeaf4-6743-4149-95f4-2d8ab80d0d36,spoof,1
