category_type,category,label,samples
generator,video_mps_multiple_bitrate_a58d0480-23d2-4fa7-8446-55de9e3daf3a,spoof,1
generator,video_mps_multiple_bitrate_a2ec237a-2fad-483d-815e-0cade1600748,spoof,1
generator,video_mps_multiple_bitrate_a786c0ec-2400-4003-898c-fe3beef8f626,spoof,1
generator,video_mps_multiple_bitrate_a959dbcf-7bb0-4578-8610-9c7c5938bc89,spoof,1
generator,video_mps_multiple_bitrate_a35acb89-c7bb-464f-a16f-66e3481905a7,spoof,1
generator,video_mps_multiple_bitrate_a3afa815-6ad5-492e-afce-ca44fb362523,spoof,1
generator,video_mps_multiple_bitrate_abeca704-fafb-4231-9131-2749a5913c2b,spoof,1
generator,video_mps_multiple_bitrate_a3ef8877-7fd6-4c75-8da2-e59b29029ddb,spoof,1
generator,video_mps_multiple_bitrate_a524a2ea-4543-4aeb-9eec-584726f1028e,spoof,1
generator,video_mps_multiple_bitrate_a8f03f75-142e-416d-a16f-4f07d43f3904,spoof,1
generator,video_mps_multiple_bitrate_a4be87e9-ca0a-48a0-9621-52faff3b3720,spoof,1
generator,video_mps_multiple_bitrate_9661153b-8081-4e40-bca1-4b904bd68ee0,spoof,1
generator,video_mps_multiple_bitrate_a019d7ab-0620-4571-902b-0e9f9e9da838,spoof,1
generator,video_mps_multiple_bitrate_8ea93b17-010e-4fa9-864e-08d27370c6ad,spoof,1
generator,video_mps_multiple_bitrate_78f8654c-b082-4774-812a-aaa7e305bc20,spoof,1
generator,video_mps_multiple_bitrate_795593ca-7baf-4a41-9047-0b4e9472eac9,spoof,1
generator,video_mps_multiple_bitrate_7976c2a9-9654-4c5f-aa09-f358d017baa6,spoof,1
generator,video_mps_multiple_bitrate_7b28c4ce-d16b-4ec5-b863-9a8c39e67e7b,spoof,1
generator,video_mps_multiple_bitrate_7c36652d-e8fe-4d4e-a44e-589cdae639e5,spoof,1
generator,video_mps_multiple_bitrate_7d262732-2347-47a0-b1b9-3114f25ddb3d,spoof,1
generator,video_mps_multiple_bitrate_802b232c-9fe9-40f1-b633-0cc6bffa889f,spoof,1
